pmax,rtc_mean,rtc_std,stc_mean,stc_std
5,44666.6,29116.29418452836,1017.4,671.9180307150568
10,16969.6,5345.335783652885,26.4,9.178235124467014
15,2782.8,553.1142377484058,1.4,0.4898979485566356
20,7313.6,1059.8004717870247,1.0,0.0
