n_cells_i,rtc_mean,rtc_std,stc_mean,stc_std,immune_mean,immune_std
5,236.0,200.44616899972587,0.3333333333333333,0.4714045207910317,862.6666666666666,646.2312967420326
10,110.66666666666667,156.5063009026225,0.3333333333333333,0.4714045207910317,445.0,261.92492563073614
20,0.0,0.0,0.0,0.0,386.3333333333333,412.6542809126734
